21 Day Intro Block,Training Zone,Interval Time,"Interval Effort
(% of Max HR)"
Race Distance,10k,,
Race Goal Time,36m 30s,,
Predicted VO2,5m 25s,,
Max HR,190,,
,,,
,,,
1,Recovery,1800,0.70
2,Endurance,2400,0.75
3,Aerobic Threshold,720,0.50
3,Aerobic Threshold,480,0.85
3,Aerobic Threshold,120,0.60
3,Aerobic Threshold,480,0.85
3,Aerobic Threshold,120,0.60
3,Aerobic Threshold,480,0.85
3,Aerobic Threshold,120,0.60
3,Aerobic Threshold,480,0.85
3,Aerobic Threshold,120,0.60
3,Aerobic Threshold,600,0.50
4,Recovery,1800,0.70
5,Endurance,2400,0.75
6,VO2,900,0.60
6,VO2,75,0.90
6,VO2,75,0.60
6,VO2,75,0.90
6,VO2,75,0.60
6,VO2,75,0.90
6,VO2,75,0.60
6,VO2,75,0.90
6,VO2,75,0.60
6,VO2,240,0.60
6,VO2,60,0.93
6,VO2,60,0.60
6,VO2,60,0.93
6,VO2,60,0.60
6,VO2,60,0.93
6,VO2,60,0.60
6,VO2,60,0.93
6,VO2,60,0.60
6,VO2,180,0.60
6,VO2,45,0.96
6,VO2,45,0.60
6,VO2,45,0.96
6,VO2,45,0.60
6,VO2,45,0.96
6,VO2,45,0.60
6,VO2,45,0.96
6,VO2,45,0.60
6,VO2,720,0.50
7,Recovery,1800,0.70
8,Endurance,2400,0.75
9,Lactate Threshold,720,0.60
9,Lactate Threshold,300,0.88
9,Lactate Threshold,90,0.60
9,Lactate Threshold,300,0.88
9,Lactate Threshold,90,0.60
9,Lactate Threshold,300,0.88
9,Lactate Threshold,90,0.60
9,Lactate Threshold,150,0.60
9,Lactate Threshold,180,0.90
9,Lactate Threshold,60,0.60
9,Lactate Threshold,180,0.90
9,Lactate Threshold,60,0.60
9,Lactate Threshold,180,0.90
9,Lactate Threshold,60,0.60
9,Lactate Threshold,180,0.90
9,Lactate Threshold,60,0.60
9,Lactate Threshold,180,0.90
9,Lactate Threshold,60,0.60
9,Lactate Threshold,600,0.50
10,Recovery,1800,0.70
11,Endurance,2400,0.75
12,Long Endurance,3600,0.80
13,Recovery,1800,0.70
14,Anaerobic,1200,0.50
14,Anaerobic,45,1.00
14,Anaerobic,180,0.60
14,Anaerobic,45,1.00
14,Anaerobic,180,0.60
14,Anaerobic,45,1.00
14,Anaerobic,300,0.60
14,Anaerobic,45,1.00
14,Anaerobic,180,0.60
14,Anaerobic,45,1.00
14,Anaerobic,180,0.60
14,Anaerobic,45,1.00
14,Anaerobic,180,0.60
14,Anaerobic,720,0.60
15,Recovery,1800,0.70
16,Endurance,2400,0.75
17,Lactate Threshold,720,0.60
17,Lactate Threshold,600,0.87
17,Lactate Threshold,180,0.60
17,Lactate Threshold,480,0.88
17,Lactate Threshold,150,0.60
17,Lactate Threshold,360,0.89
17,Lactate Threshold,120,0.60
17,Lactate Threshold,240,0.90
17,Lactate Threshold,90,0.60
17,Lactate Threshold,120,0.91
17,Lactate Threshold,60,0.60
17,Lactate Threshold,600,0.50
18,Recovery,1800,0.70
19,Endurance,2400,0.75
20,Recovery,1800,0.70
21,Aerobic Threshold,720,0.50
21,Aerobic Threshold,1500,0.83
21,Aerobic Threshold,300,0.60
21,Aerobic Threshold,1500,0.85
21,Aerobic Threshold,300,0.60
21,Aerobic Threshold,600,0.50